Config,Mode,Time,Inital pre count,Pre count after true,Reduce Pr count,Functions count
RefundEscrowConfig_k=8,states,0:01:49,3,3,3,6
RefundEscrowConfig_k=8,epa,0:01:37,64,8,4,6
RefundEscrowWithdrawConfig_k=8,epa,0:04:14,128,16,6,7
EscrowVaultConfig_k=8,states,0:04:03,4,4,4,8
EscrowVaultConfig_k=8,epa,0:02:08,256,16,4,8
EPXCrowdsaleConfig_k=8,states,0:26:02,7,7,7,5
EPXCrowdsaleConfig_k=8,epa,0:04:57,32,16,4,5
EPXCrowdsaleIsCrowdsaleClosedConfig_k=8,epa,0:07:33,64,32,5,6
ValidatorAuctionConfig_k=8,states,0:18:31,5,5,5,6
ValidatorAuctionConfig_k=8,epa,0:06:20,64,64,6,6
ValidatorAuction_withdrawConfig_k=8,epa,0:16:44,128,128,8,7
SimpleAuctionConfig_k=8,epa,0:04:26,8,8,8,3
SimpleAuctionTimeConfig_k=8,epa,0:06:18,16,8,8,4
SimpleAuctionEndedConfig_k=8,epa,0:04:44,16,16,8,4
SimpleAuctionHBConfig_k=8,states,0:06:55,6,6,6,4
AuctionConfig_k=8,epa,0:01:03,8,8,4,3
AuctionEndedConfig_k=8,epa,0:01:18,16,16,4,4
AuctionWithdrawConfig_k=8,epa,0:02:51,16,16,6,4
RockPaperScissorsConfig_k=8,states,0:03:47,6,6,6,3
RockPaperScissorsConfig_k=8,epa,0:00:58,8,8,4,3
CrowdfundingTime_BaseConfig_k=8,epa,0:01:15,16,8,4,4
CrowdfundingTime_BaseBalanceConfig_k=8,epa,0:03:49,32,16,7,5
CrowdfundingTime_BaseBalanceFixConfig_k=8,epa,0:03:01,32,16,6,5
